"","V1","V2","V3","V4"
"563",7402,22373,22873,22828
"564",8449,7388,6953,7091
"565",15195,15402,15292,15510
"566",15488,15186,15568,15376
"567",16335,20424,16317,20285
"568",19646,14296,14679,19760
"569",14949,15153,14715,14743
"570",14944,19654,19761,19762
"571",20137,20147,15373,20013
"572",16769,20744,20700,20766
"573",20175,15709,20094,20103
"574",14036,14230,14225,14366
"575",20370,15998,16180,20341
"576",175,683,24963,24860
"577",14032,14310,14115,13834
"578",16222,16391,20471,16477
"579",14334,14094,14591,14497
"580",7952,8078,23024,21934
"581",14546,14442,14306,14885
"582",19570,19484,13786,13598
"583",12394,19358,19188,19237
"584",19499,13954,14090,19605
"585",5936,6123,25073,22594
"586",14870,15066,14815,15150
"587",20356,20361,20261,16206
"588",21541,21976,23328,22301
"589",14674,14870,14815,15150
"590",11602,11863,11699,11498
"591",4533,18192,18278,4827
"592",2959,3100,21688,2972
"593",789,830,23325,700
"594",15137,14957,15411,15355
"595",20157,15808,15877,15705
"596",17175,17187,1860,1011
"597",15875,16018,23932,23883
"598",515,337,24450,21889
"599",15657,15722,15659,15400
"600",17311,2207,2090,2254
"601",19860,15028,15109,19995
"602",18868,11570,11293,18914
"603",20535,16619,16490,16500
"604",21403,21426,21677,21666
"605",18601,20882,22816,21460
"606",12108,19178,11886,19284
"607",3101,3334,3776,3436
"608",2492,17382,17401,17411
"609",8407,8604,21179,11231
"610",4502,18022,4379,4162
"611",6399,6584,6962,18559
"612",15519,15947,15770,15731
"613",14930,15169,15116,15106
"614",5561,18510,6781,18605
"615",20652,20800,20773,16686
"616",2061,2209,2071,1860
"617",19347,19327,12109,19205
"618",13448,13472,22965,13450
"619",20856,20799,16824,20805
"620",2886,2883,17567,2634
"621",6636,6864,5619,5464
"622",18779,18836,18868,18903
"623",20215,20085,20136,15794
"624",4010,3791,4124,4008
"625",7384,7207,10794,8564
"626",12213,12890,12248,12411
"627",8399,8427,24125,23724
"628",11293,11289,11489,18890
"629",16409,16361,21999,16313
"630",16614,16594,24363,16446
"631",5636,6667,7029,6505
"632",14163,13965,14557,14449
"633",17992,4187,21183,17900
"634",7240,23436,24525,23735
"635",16759,16647,20685,23856
"636",1703,17153,902,17176
"637",11842,12035,23422,11867
"638",1721,1751,24550,1731
"639",11972,11507,11936,19164
"640",19327,19189,12187,19205
"641",24681,21807,25080,24781
"642",18796,7175,18797,18802
"643",14992,19940,15272,14998
"644",20772,16811,21144,20794
"645",18673,18580,7218,6790
"646",4147,4625,21467,4690
"647",18690,18806,18824,7234
"648",13715,13546,13554,13522
"649",13823,14540,13798,14078
"650",12640,12809,23923,12699
"651",17949,17982,4302,3820
"652",11335,11473,11607,11616
"653",20049,20141,15623,15681
"654",20029,20167,15658,20156
"655",11752,11803,19098,18995
"656",4801,5391,18336,5448
"657",4940,4377,18180,4502
"658",15668,19907,23852,15628
"659",16572,16325,16513,16457
"660",20693,16766,20709,20675
"661",16771,16799,20815,16831
"662",20287,20144,16059,20180
"663",3320,17729,17657,17722
"664",20218,16013,20212,15813
"665",19917,15038,14809,15128
"666",13925,14099,13980,14243
"667",16093,16295,20484,20378
"668",8802,8785,24670,22690
"669",24137,23430,24700,24694
"670",11227,7835,21582,8926
"671",14032,14512,14115,14310
"672",7334,7379,22644,7970
"673",15171,14687,14572,14974
"674",4767,4765,23221,21898
"675",20988,16747,20639,16760
"676",16039,15836,15960,15957
"677",19548,19553,13915,19526
"678",5902,5794,23354,5847
"679",15337,15626,15401,15484
"680",19940,15728,15558,15277
"681",16065,15959,15850,16025
"682",12890,12598,12248,12568
"683",15538,19942,20048,20011
"684",14738,14877,14747,14487
"685",16163,16151,16341,16125
"686",20302,15908,20196,20234
"687",6663,6565,6822,6574
"688",16316,16459,20512,20563
"689",4759,18158,18271,18240
"690",8600,7550,8571,18971
"691",17524,2487,17451,2492
"692",16394,16229,16660,16369
"693",14084,14616,14370,13854
"694",3783,4254,3628,18000
"695",10918,22281,24229,22282
"696",18282,18333,4218,18326
"697",16171,16012,20360,20322
"698",19878,15317,15125,15120
"699",16193,20188,20194,20122
"700",14248,14646,14790,14104
"701",5553,5547,21578,5523
"702",6854,6584,7196,18679
"703",13094,12949,22287,13273
"704",19080,12361,23964,19099
"705",19877,19819,14876,15128
"706",12176,11854,11608,11808
"707",19241,19326,19365,12549
"708",14495,13933,14177,13936
"709",20793,20757,16837,20824
"710",14634,14185,19761,19654
"711",21240,22736,23946,23484
"712",6809,6805,21425,6924
"713",23469,733,24050,23672
"714",3027,2855,21708,2874
"715",18659,7249,18773,18785
"716",15388,15045,20064,19991
"717",14329,19498,24290,14612
"718",1645,1626,21679,1697
"719",4898,5014,4516,4475
"720",7910,7973,22047,21588
"721",16781,16796,20748,20677
"722",20726,16759,16783,16647
"723",19144,11567,12004,19180
"724",13536,13552,23142,23136
"725",432,17121,1218,17120
"726",7928,8111,21284,7877
"727",14301,13973,13904,14078
"728",11277,18884,24749,11300
"729",23480,22068,24011,21289
"730",8894,8945,23722,22085
"731",1827,1792,24872,22874
"732",1914,1900,22140,21799
"733",15836,15734,15566,15489
"734",14180,14548,13893,14128
"735",11353,21888,22917,22007
"736",7285,7098,21904,7055
"737",7175,18802,18818,18797
"738",11024,11048,22453,10894
"739",10047,10305,11261,11374
"740",6277,6170,22213,6099
"741",22216,21645,24790,24608
"742",724,725,23718,23530
"743",12662,12668,22022,12690
"744",7100,7160,22501,7081
"745",21614,8083,23983,22480
"746",10849,10859,22050,10912
"747",1358,1322,22202,1370
"748",9010,9018,9024,9027
"749",23080,13666,23392,23292
"750",22057,11460,22755,22440
"751",10878,10819,22784,10737
"752",9558,9681,24169,9476
"753",1462,21250,24021,21717
"754",12183,12208,22180,21267
"755",20149,20099,23683,20233
"756",305,17107,21696,1003
"757",15662,15768,22398,15483
"758",15739,15649,15918,15744
"759",19663,19531,14274,19576
"760",12796,12800,22694,21307
"761",6787,7265,21910,21525
"762",18853,8488,9457,11197
"763",5199,5083,5125,5409
"764",4952,5305,4877,4941
"765",13622,13811,23458,21663
"766",1019,1040,24579,22329
"767",3234,3146,22457,3265
"768",6361,6328,22213,6296
"769",1154,1232,23848,1234
"770",21261,21856,23175,22335
"771",418,433,23618,23104
"772",14544,14451,21519,14882
"773",8932,8883,23283,21092
"774",5342,4926,22039,4901
"775",2300,2141,21465,2147
"776",7285,6599,21722,7094
"777",1820,1793,24062,22228
"778",5054,4630,4644,18227
"779",10790,10838,22244,10520
"780",21400,22593,25073,22594
"781",14195,21338,24416,23830
"782",1367,1346,21821,1368
"783",10882,10872,21304,10929
"784",20943,18331,21106,5110
"785",2936,2893,3227,3275
"786",1475,21837,22736,22732
"787",22230,9643,22640,22432
"788",6433,6465,21362,6432
"789",16852,36,16851,6
"790",12933,12964,12932,12863
"791",23520,22864,24040,23640
"792",4746,5023,4731,18218
"793",14655,14350,14436,14615
"794",19554,14082,19678,14321
"795",14713,14652,14920,14608
"796",9325,9201,22863,21785
"797",19273,19184,22889,21442
"798",1503,1575,24241,1669
"799",20142,15615,15616,20056
"800",20283,20241,15922,15796
"801",587,573,23498,592
"802",19812,19974,19944,19932
"803",16355,16149,23807,15986
"804",15049,15337,15391,15301
"805",22372,22448,24535,22677
"806",1037,1116,22635,1063
"807",21840,21441,23346,22767
"808",14833,15001,14641,14732
"809",18428,18307,24756,22407
"810",14409,14410,19424,19459
"811",21892,21550,24907,22092
"812",21753,448,23632,22778
"813",4672,18022,4532,4326
"814",5587,5328,6674,5267
"815",8488,8357,18853,7951
"816",7122,6803,5450,6500
"817",19769,19826,19743,15383
"818",16817,16791,20788,20810
"819",18421,18320,18375,18374
"820",20035,15506,20121,20059
"821",11650,11766,11843,12201
"822",16476,16296,16285,16378
"823",16708,16712,20672,20664
"824",20343,20286,20360,16133
"825",12233,12783,13390,12460
"826",15604,15426,15729,15191
"827",3946,4078,4228,4059
"828",14322,14607,24036,21990
"829",3502,2999,17831,3233
"830",6467,6394,22253,6295
"831",18616,18766,18808,7258
"832",17624,17674,2795,2740
"833",8477,7161,21315,11322
"834",19635,14488,21224,19791
"835",12226,21255,23179,22907
"836",5298,5438,23763,5437
"837",7606,22769,23105,23079
"838",4971,5202,5008,4945
"839",14414,14076,21903,13714
"840",19304,19413,19377,12419
"841",11850,12202,12265,11613
"842",19111,19072,11511,18928
"843",11493,11162,21330,11317
"844",14889,15249,23961,19797
"845",7386,8308,21459,7269
"846",12093,12288,12131,12137
"847",17809,3270,3815,3802
"848",14350,14655,14436,14463
"849",4697,4811,18375,18374
"850",8242,8240,24003,21632
"851",18289,5116,5146,5454
"852",7176,6848,22689,6599
"853",17330,17287,17298,2081
"854",7363,23521,23748,22026
"855",17115,17160,23368,17119
"856",10946,10995,21285,11011
"857",18623,18553,18697,7465
"858",18392,18360,18320,18421
"859",8731,7598,9262,8779
"860",20445,20554,20485,16563
"861",15978,16118,15910,15827
"862",13045,13144,21317,13104
"863",11190,8561,18948,19023
"864",17226,2071,17277,17272
"865",12481,12445,12197,12527
"866",15238,14908,21319,15104
"867",20219,16062,16275,16071
"868",19489,19582,13975,14352
"869",4198,4368,4315,4352
"870",4066,18053,18012,18109
"871",21880,9842,24340,22757
"872",15750,15595,21430,15405
"873",7528,7319,11291,10528
"874",16213,16361,16073,16235
"875",14979,15372,19884,19954
"876",13604,13666,24910,13606
"877",11067,18839,11413,11177
"878",23309,23131,23790,23423
"879",16719,16706,20724,20721
"880",15371,20012,15499,16079
"881",16715,16814,16749,16805
"882",3709,3804,4037,4154
"883",11002,11010,23460,10947
"884",21987,21625,24616,22345
"885",23469,1830,23560,17202
"886",16780,16818,24372,23934
"887",15640,16010,24414,15771
"888",12410,12335,13770,12320
"889",16576,20583,16682,16716
"890",19438,19473,19577,13908
"891",4491,4787,4715,4682
"892",21743,23234,24875,24633
